EX DIFFUSER 0.020,,,EX DIFFUSER 0.025,,,EX DIFFUSER 0.030,,,EX DIFFUSER 0.035,,,QUADRANT 1,,,,QUADRANT 2,,,
Y,X,inst_Vmag,Y,X,inst_Vmag,Y,X,inst_Vmag,Y,X,inst_Vmag,x-coord,y-coord,radius,velocity-mag (m/s),x-coord,y-coord,radius,velocity-mag (m/s)
-0.02581,0.02,2.387230875,-0.02476,0.025,0.673126486,-0.02401,0.03,0.662238358,-0.02296,0.035,0.370697775,0.006,-0.006,0.008485281,0.772596471,0.0075,0.0075,0.01061,1.9046
-0.02596,0.02,2.64694092,-0.02491,0.025,0.948968426,-0.02416,0.03,0.777926654,-0.02311,0.035,0.512769575,0.0063,-0.0063,0.008909545,0.821533479,0.0078,0.0078,0.01103,2.14105
-0.02611,0.02,2.817998193,-0.02506,0.025,1.101725197,-0.02431,0.03,0.923286659,-0.02326,0.035,0.619194617,0.0066,-0.0066,0.00933381,0.962087574,0.0081,0.0081,0.01146,2.36127
-0.02626,0.02,2.983875381,-0.02521,0.025,1.328732383,-0.02446,0.03,1.064801684,-0.02341,0.035,0.719836835,0.0069,-0.0069,0.009758074,1.145936736,0.0084,0.0084,0.01188,2.64969
-0.02641,0.02,3.099311009,-0.02536,0.025,1.658408643,-0.02461,0.03,1.186931414,-0.02356,0.035,0.797783216,0.0072,-0.0072,0.010182338,1.364265425,0.0087,0.0087,0.0123,2.86485
-0.02656,0.02,3.200649459,-0.02551,0.025,1.987790849,-0.02476,0.03,1.305617352,-0.02371,0.035,0.873851546,0.0075,-0.0075,0.010606602,1.591405957,0.009,0.009,0.01273,3.09346
-0.02671,0.02,3.261865067,-0.02566,0.025,2.232256434,-0.02491,0.03,1.426232776,-0.02386,0.035,0.940196943,0.0078,-0.0078,0.011030866,1.838319438,0.0093,0.0093,0.01315,3.27722
-0.02686,0.02,3.302576647,-0.02581,0.025,2.390785487,-0.02506,0.03,1.542978544,-0.02401,0.035,1.006605836,0.0081,-0.0081,0.01145513,2.100484186,0.0096,0.0096,0.01358,3.42025
-0.02701,0.02,3.323565527,-0.02596,0.025,2.545969048,-0.02521,0.03,1.664814084,-0.02416,0.035,1.063077216,0.0084,-0.0084,0.011879394,2.311572186,0.0099,0.0099,0.014,3.53703
-0.02716,0.02,3.351437941,-0.02611,0.025,2.623930196,-0.02536,0.03,1.790096687,-0.02431,0.035,1.118347074,0.0087,-0.0087,0.012303658,2.45438738,0.0102,0.0102,0.01442,3.64945
-0.02731,0.02,3.371152665,-0.02626,0.025,2.679088654,-0.02551,0.03,1.911657269,-0.02446,0.035,1.181073307,0.009,-0.009,0.012727922,2.583415753,0.0105,0.0105,0.01485,3.72658
-0.02746,0.02,3.388596109,-0.02641,0.025,2.724674514,-0.02566,0.03,2.025567279,-0.02461,0.035,1.24834469,0.0093,-0.0093,0.013152186,2.707935246,0.0108,0.0108,0.01527,3.81263
-0.02761,0.02,3.408510265,-0.02656,0.025,2.755244896,-0.02581,0.03,2.131113923,-0.02476,0.035,1.319544051,0.0096,-0.0096,0.01357645,2.836396872,0.0111,0.0111,0.0157,3.90643
