nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,rmse-velocity-magnitude
1,0.029999997,-0.029999999,0.006562,1.854037881
2,0.029800016,-0.029800016,0.006562,1.930768371
3,0.029788859,-0.029788861,0.006562,1.935977101
4,0.029544016,-0.029544016,0.006562,1.972429633
5,0.029532859,-0.029532859,0.006562,1.974844337
6,0.029288016,-0.029288016,0.006562,1.969209433
7,0.029276861,-0.029276859,0.006562,1.969441414
8,0.029032016,-0.029032018,0.006562,1.933182955
9,0.029020859,-0.029020859,0.006562,1.931779504
10,0.028776016,-0.028776016,0.006562,1.865638733
11,0.028764859,-0.028764859,0.006562,1.862789273
12,0.028520018,-0.028520016,0.006562,1.763540745
13,0.028508861,-0.028508859,0.006562,1.75943172
14,0.028264016,-0.028264018,0.006562,1.648514867
15,0.028252861,-0.028252861,0.006562001,1.643259048
16,0.028008016,-0.028008016,0.006562,1.50079906
17,0.027996859,-0.027996859,0.006562,1.494248509
18,0.027752018,-0.027752016,0.006562,1.339776278
19,0.02774086,-0.02774086,0.006562001,1.332599044
20,0.027496016,-0.027496018,0.006562,1.196229577
21,0.027484858,-0.02748486,0.006562,1.189895391
22,0.027240016,-0.027240016,0.006562,1.095742941
23,0.02722886,-0.02722886,0.006562001,1.091322422
24,0.026984019,-0.026984019,0.006562001,1.028855324
25,0.02697286,-0.026972862,0.006562001,1.025807381
26,0.026728019,-0.026728019,0.006562,0.967329025
27,0.026716862,-0.02671686,0.006562001,0.964674234
28,0.026472017,-0.026472019,0.006562,0.891494632
29,0.026460862,-0.026460862,0.006562001,0.888273299
30,0.026216019,-0.026216017,0.006562,0.796317995
31,0.02620486,-0.02620486,0.006562001,0.792243958
32,0.025960019,-0.025960019,0.006562,0.702409327
33,0.025948862,-0.02594886,0.006562,0.698345304
34,0.025704017,-0.025704019,0.006562,0.63563478
35,0.02569286,-0.025692862,0.006562,0.632767081
36,0.025441356,-0.025441356,0.006562,0.60543406
37,0.025413886,-0.025413886,0.006562001,0.603868485
38,0.025155734,-0.025155734,0.006562001,0.617513418
39,0.025082938,-0.025082937,0.006562001,0.623440445
40,0.025037816,-0.025037818,0.006562,0.628975451
41,0.024970962,-0.02497096,0.006562,0.628485918
42,0.024914036,-0.024914037,0.006562001,0.609534025
43,0.024866499,-0.024866499,0.006562,0.55958873
44,0.024826825,-0.024826825,0.006562,0.459162355
45,0.024793522,-0.024793524,0.006562001,0.288006514
46,0.024765464,-0.024765465,0.006562,0.223688558
47,0.021212967,-0.021212967,0.006562001,0.375244796
48,0.021189837,-0.021189837,0.006562,0.46923393
49,0.021162102,-0.021162102,0.006562001,0.643714488
50,0.021128856,-0.021128856,0.006562,0.74133873
51,0.021089017,-0.021089017,0.006562001,0.777692437
52,0.021041304,-0.021041304,0.006562001,0.765120029
53,0.020984208,-0.020984208,0.006562,0.734656572
54,0.020951478,-0.020951476,0.006562001,0.715206564
55,0.020768786,-0.020768782,0.006562,0.690714657
56,0.020585107,-0.020585107,0.006562,0.70316416
57,0.020572862,-0.020572862,0.006562001,0.70502454
58,0.020328019,-0.020328019,0.006562001,0.747211993
59,0.020316862,-0.020316862,0.006562,0.749197722
60,0.020104622,-0.020104622,0.006562,0.78936249
61,0.019903842,-0.019903842,0.006562,0.846041381
62,0.019867646,-0.019867644,0.006562001,0.857699275
63,0.019819843,-0.019819843,0.006562,3.391689301
64,0.019798797,-0.019798795,0.006562001,4.693668842
65,0.019715512,-0.01971551,0.006562001,4.697554588
66,0.019519543,-0.019519543,0.006562,4.720621109
67,0.019200001,-0.019200001,0.006562,4.760083675
68,0.01888,-0.01888,0.006562,4.819250584
69,0.01856,-0.01856,0.006562,4.901307106
70,0.018239999,-0.018239999,0.006562,5.013355732
71,0.01792,-0.01792,0.006562,5.145610809
72,0.0176,-0.0176,0.006562,5.256842613
73,0.017279999,-0.017279999,0.006562,5.321744442
74,0.016960001,-0.016960001,0.006562,5.348419666
75,0.01664,-0.01664,0.006562,5.358397961
76,0.016319999,-0.016319999,0.006562,5.360078812
77,0.016000001,-0.016000001,0.006562,5.353880405
78,0.01568,-0.01568,0.006562,5.341555595
79,0.01536,-0.01536,0.006562,5.323330879
80,0.01504,-0.01504,0.006562,5.294072151
81,0.01472,-0.01472,0.006562,5.246905804
82,0.0144,-0.0144,0.006562,5.176402092
83,0.01408,-0.01408,0.006562,5.078906536
84,0.01376,-0.01376,0.006562,4.955982685
85,0.01344,-0.01344,0.006562,4.816590309
86,0.01312,-0.01312,0.006562,4.669392109
87,0.0128,-0.0128,0.006562,4.519207954
88,0.01248,-0.01248,0.006562,4.362966537
89,0.01216,-0.01216,0.006562,4.196374893
90,0.01184,-0.01184,0.006562,4.020290375
91,0.01152,-0.01152,0.006562,3.835619688
92,0.0112,-0.0112,0.006562,3.642917633
93,0.01088,-0.01088,0.006562,3.442192078
94,0.01056,-0.01056,0.006562,3.255382538
95,0.01024,-0.01024,0.006562,3.103724003
96,0.00992,-0.00992,0.006562,2.987439632
97,0.0096,-0.0096,0.006562,2.882620335
98,0.00928,-0.00928,0.006562,2.754398346
99,0.00896,-0.00896,0.006562,2.5785501
100,0.00864,-0.00864,0.006562,2.35448575
101,0.00832,-0.00832,0.006562,2.114247561
102,0.008,-0.008,0.006562,1.906392932
103,0.00768,-0.00768,0.006562,1.736563444
104,0.00736,-0.00736,0.006562,1.570800066
105,0.00704,-0.00704,0.006562,1.384155393
106,0.00672,-0.00672,0.006562,1.185280323
107,0.0064,-0.0064,0.006562,1.012846231
108,0.00608,-0.00608,0.006562,0.907707632
109,0.00576,-0.00576,0.006562,0.864536285
110,0.00544,-0.00544,0.006562,0.837884545
111,0.00512,-0.00512,0.006562,0.79988569
112,0.0048,-0.0048,0.006562,0.760986447
113,0.00448,-0.00448,0.006562,0.742629826
114,0.00416,-0.00416,0.006562,0.754548788
115,0.00384,-0.00384,0.006562,0.794497192
116,0.00352,-0.00352,0.006562,0.84428364
117,0.003273752,-0.003273752,0.006562001,0.877175808
