nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
1,0.029999997,-0.029999999,0.006562,3.88415432
2,0.029800016,-0.029800016,0.006562,3.375966311
3,0.029788859,-0.029788861,0.006562,3.347216606
4,0.029544016,-0.029544016,0.006562,2.745728016
5,0.029532859,-0.029532859,0.006562,2.718004704
6,0.029288016,-0.029288016,0.006562,2.158328295
7,0.029276861,-0.029276859,0.006562,2.13261199
8,0.029032016,-0.029032018,0.006562,1.634581566
9,0.029020859,-0.029020859,0.006562,1.611795068
10,0.028776016,-0.028776016,0.006562,1.221292973
11,0.028764859,-0.028764859,0.006562,1.203401327
12,0.028520018,-0.028520016,0.006562,1.047724605
13,0.028508861,-0.028508859,0.006562,1.038975954
14,0.028264016,-0.028264018,0.006562,1.041085243
15,0.028252861,-0.028252861,0.006562001,1.041422129
16,0.028008016,-0.028008016,0.006562,1.273046613
17,0.027996859,-0.027996859,0.006562,1.281931877
18,0.027752018,-0.027752016,0.006562,1.523532867
19,0.02774086,-0.02774086,0.006562001,1.533977032
20,0.027496016,-0.027496018,0.006562,1.719694972
21,0.027484858,-0.02748486,0.006562,1.728016853
22,0.027240016,-0.027240016,0.006562,1.822124958
23,0.02722886,-0.02722886,0.006562001,1.826262474
24,0.026984019,-0.026984019,0.006562001,1.831571579
25,0.02697286,-0.026972862,0.006562001,1.831278801
26,0.026728019,-0.026728019,0.006562,1.745660543
27,0.026716862,-0.02671686,0.006562001,1.741006851
28,0.026472017,-0.026472019,0.006562,1.583625078
29,0.026460862,-0.026460862,0.006562001,1.576094985
30,0.026216019,-0.026216017,0.006562,1.399049759
31,0.02620486,-0.02620486,0.006562001,1.391148686
32,0.025960019,-0.025960019,0.006562,1.236746907
33,0.025948862,-0.02594886,0.006562,1.230196834
34,0.025704017,-0.025704019,0.006562,1.114844561
35,0.02569286,-0.025692862,0.006562,1.109857917
36,0.025441356,-0.025441356,0.006562,1.035710573
37,0.025413886,-0.025413886,0.006562001,1.035728216
38,0.025155734,-0.025155734,0.006562001,0.947971344
39,0.025082938,-0.025082937,0.006562001,0.910797954
40,0.025037816,-0.025037818,0.006562,0.857501507
41,0.024970962,-0.02497096,0.006562,0.730475724
42,0.024914036,-0.024914037,0.006562001,0.577059507
43,0.024866499,-0.024866499,0.006562,0.413670898
44,0.024826825,-0.024826825,0.006562,0.269337475
45,0.024793522,-0.024793524,0.006562001,0.135580316
46,0.024765464,-0.024765465,0.006562,0
47,0.021212967,-0.021212967,0.006562001,0
48,0.021189837,-0.021189837,0.006562,2.025575638
49,0.021162102,-0.021162102,0.006562001,3.745127201
50,0.021128856,-0.021128856,0.006562,4.721783638
51,0.021089017,-0.021089017,0.006562001,5.098790646
52,0.021041304,-0.021041304,0.006562001,5.224141121
53,0.020984208,-0.020984208,0.006562,5.277714729
54,0.020951478,-0.020951476,0.006562001,5.306363106
55,0.020768786,-0.020768782,0.006562,5.408659935
56,0.020585107,-0.020585107,0.006562,5.521328926
57,0.020572862,-0.020572862,0.006562001,5.527928352
58,0.020328019,-0.020328019,0.006562001,5.63721323
59,0.020316862,-0.020316862,0.006562,5.641096115
60,0.020104622,-0.020104622,0.006562,5.698523045
61,0.019903842,-0.019903842,0.006562,5.72878027
62,0.019867646,-0.019867644,0.006562001,5.731775284
63,0.019819843,-0.019819843,0.006562,5.732082367
64,0.019798797,-0.019798795,0.006562001,5.728059292
65,0.019715512,-0.01971551,0.006562001,5.737485409
66,0.019519543,-0.019519543,0.006562,5.747130394
67,0.019200001,-0.019200001,0.006562,5.740750313
68,0.01888,-0.01888,0.006562,5.711855888
69,0.01856,-0.01856,0.006562,5.617890835
70,0.018239999,-0.018239999,0.006562,5.459552288
71,0.01792,-0.01792,0.006562,5.275858879
72,0.0176,-0.0176,0.006562,5.10430336
73,0.017279999,-0.017279999,0.006562,4.95768261
74,0.016960001,-0.016960001,0.006562,4.828840733
75,0.01664,-0.01664,0.006562,4.704043865
