nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,rmse-velocity-magnitude
1,0.029999997,-0.029999999,0.006562,1.14144361
2,0.029800016,-0.029800016,0.006562,1.132102132
3,0.029788859,-0.029788861,0.006562,1.132204652
4,0.029544016,-0.029544016,0.006562,1.089963675
5,0.029532859,-0.029532859,0.006562,1.088380814
6,0.029288016,-0.029288016,0.006562,1.024381757
7,0.029276861,-0.029276859,0.006562,1.021558166
8,0.029032016,-0.029032018,0.006562,0.946643829
9,0.029020859,-0.029020859,0.006562,0.943150818
10,0.028776016,-0.028776016,0.006562,0.865888476
11,0.028764859,-0.028764859,0.006562,0.862200141
12,0.028520018,-0.028520016,0.006562,0.785784245
13,0.028508861,-0.028508859,0.006562,0.782131732
14,0.028264016,-0.028264018,0.006562,0.705225945
15,0.028252861,-0.028252861,0.006562001,0.701561987
16,0.028008016,-0.028008016,0.006562,0.628973842
17,0.027996859,-0.027996859,0.006562,0.625464201
18,0.027752018,-0.027752016,0.006562,0.552571774
19,0.02774086,-0.02774086,0.006562001,0.549085259
20,0.027496016,-0.027496018,0.006562,0.499290228
21,0.027484858,-0.02748486,0.006562,0.496634722
22,0.027240016,-0.027240016,0.006562,0.468487024
23,0.02722886,-0.02722886,0.006562001,0.466877401
24,0.026984019,-0.026984019,0.006562001,0.451629579
25,0.02697286,-0.026972862,0.006562001,0.450738549
26,0.026728019,-0.026728019,0.006562,0.434412718
27,0.026716862,-0.02671686,0.006562001,0.433696687
28,0.026472017,-0.026472019,0.006562,0.415762216
29,0.026460862,-0.026460862,0.006562001,0.415027469
30,0.026216019,-0.026216017,0.006562,0.403628558
31,0.02620486,-0.02620486,0.006562001,0.403144389
32,0.025960019,-0.025960019,0.006562,0.403851807
33,0.025948862,-0.02594886,0.006562,0.403900027
34,0.025704017,-0.025704019,0.006562,0.416226447
35,0.02569286,-0.025692862,0.006562,0.416970432
36,0.025441356,-0.025441356,0.006562,0.437855572
37,0.025413886,-0.025413886,0.006562001,0.439016104
38,0.025155734,-0.025155734,0.006562001,0.450497896
39,0.025082938,-0.025082937,0.006562001,0.435989142
40,0.025037816,-0.025037818,0.006562,0.430513293
41,0.024970962,-0.02497096,0.006562,0.39652133
42,0.024914036,-0.024914037,0.006562001,0.348916382
43,0.024866499,-0.024866499,0.006562,0.293283135
44,0.024826825,-0.024826825,0.006562,0.22312361
45,0.024793522,-0.024793524,0.006562001,0.12211629
46,0.024765464,-0.024765465,0.006562,0.085051537
47,0.021212967,-0.021212967,0.006562001,0.228702962
48,0.021189837,-0.021189837,0.006562,0.373779476
49,0.021162102,-0.021162102,0.006562001,0.591773808
50,0.021128856,-0.021128856,0.006562,0.613718391
51,0.021089017,-0.021089017,0.006562001,0.571491897
52,0.021041304,-0.021041304,0.006562001,0.545366049
53,0.020984208,-0.020984208,0.006562,0.536983371
54,0.020951478,-0.020951476,0.006562001,0.53529048
