nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
1,-0.021212997,-0.021212997,0.006562001,0
2,-0.021189971,-0.021189971,0.006562001,1.14147234
3,-0.021162361,-0.021162363,0.006562001,2.308200359
4,-0.021129269,-0.021129267,0.006562,3.212336302
5,-0.02108961,-0.021089612,0.006562001,3.724419355
6,-0.021042114,-0.021042114,0.006562,3.962536097
7,-0.020985276,-0.020985276,0.006562001,4.078049183
8,-0.02090802,-0.02090802,0.006562,4.163022041
9,-0.020785252,-0.020785252,0.006562001,4.248416424
10,-0.020633833,-0.020633835,0.006562001,4.324398994
11,-0.020572862,-0.020572864,0.006562001,4.340470314
12,-0.020375982,-0.020375984,0.006562001,4.343474388
13,-0.020316862,-0.020316862,0.006562001,4.332185745
14,-0.020137088,-0.020137088,0.006562001,4.284741879
15,-0.019967264,-0.019967264,0.006562001,4.255120754
16,-0.019869238,-0.019869238,0.006562001,4.258810997
17,-0.019798733,-0.019798733,0.006562001,4.328323841
18,-0.019699417,-0.019699419,0.006562001,4.357357025
19,-0.019489368,-0.019489368,0.006562,4.614434719
20,-0.019200001,-0.019200001,0.006562,5.091561317
21,-0.01888,-0.01888,0.006562,5.484646797
22,-0.01856,-0.01856,0.006562,5.588196754
23,-0.018239999,-0.018239999,0.006562,5.659045219
24,-0.01792,-0.01792,0.006562,5.691686153
25,-0.0176,-0.0176,0.006562,5.70506382
26,-0.017279999,-0.017279999,0.006562,5.736434937
27,-0.016960001,-0.016960001,0.006562,5.749547482
28,-0.01664,-0.01664,0.006562,5.724918365
29,-0.016319999,-0.016319999,0.006562,5.686056137
30,-0.016000001,-0.016000001,0.006562,5.639638901
31,-0.01568,-0.01568,0.006562,5.579568386
32,-0.01536,-0.01536,0.006562,5.505012989
33,-0.01504,-0.01504,0.006562,5.416328907
34,-0.01472,-0.01472,0.006562,5.309170723
35,-0.0144,-0.0144,0.006562,5.174892426
36,-0.01408,-0.01408,0.006562,5.01853323
37,-0.01376,-0.01376,0.006562,4.873571873
38,-0.01344,-0.01344,0.006562,4.760381222
39,-0.01312,-0.01312,0.006562,4.660691261
40,-0.0128,-0.0128,0.006562,4.552606106
41,-0.01248,-0.01248,0.006562,4.426226139
42,-0.01216,-0.01216,0.006562,4.278064728
43,-0.01184,-0.01184,0.006562,4.106541634
44,-0.01152,-0.01152,0.006562,3.914009094
45,-0.0112,-0.0112,0.006562,3.712275982
46,-0.01088,-0.01088,0.006562,3.519414186
47,-0.01056,-0.01056,0.006562,3.348958969
48,-0.01024,-0.01024,0.006562,3.204671621
49,-0.00992,-0.00992,0.006562,3.084872723
50,-0.0096,-0.0096,0.006562,2.987865925
51,-0.00928,-0.00928,0.006562,2.904484272
52,-0.00896,-0.00896,0.006562,2.76885438
53,-0.00864,-0.00864,0.006562,2.605770111
54,-0.00832,-0.00832,0.006562,2.603350878
55,-0.008,-0.008,0.006562,2.621995449
56,-0.00768,-0.00768,0.006562,2.479763985
57,-0.00736,-0.00736,0.006562,2.210218906
58,-0.00704,-0.00704,0.006562,1.904051542
59,-0.00672,-0.00672,0.006562,1.566685915
60,-0.0064,-0.0064,0.006562,1.251014352
61,-0.00608,-0.00608,0.006562,1.083014727
62,-0.00576,-0.00576,0.006562,1.108274221
63,-0.00544,-0.00544,0.006562,1.347062349
64,-0.00512,-0.00512,0.006562,1.395868301
65,-0.0048,-0.0048,0.006562,1.107874393
66,-0.00448,-0.00448,0.006562,0.825314641
67,-0.00416,-0.00416,0.006562,0.843851924
68,-0.00384,-0.00384,0.006562,1.085163593
69,-0.00352,-0.00352,0.006562,1.327387571
70,-0.003261731,-0.003261731,0.006562,1.421407223
71,-0.003110328,-0.003110328,0.006562,1.398580313
72,-0.00304391,-0.00304391,0.006562001,1.374023438
73,-0.002989858,-0.002989858,0.006562001,1.331742167
74,-0.002944678,-0.002944678,0.006562001,1.285084605
75,-0.002906908,-0.002906908,0.006562,1.242170691
76,-0.002875368,-0.002875368,0.006562,1.194541335
77,-0.002849019,-0.002849019,0.006562,1.124709129
78,-0.002827035,-0.002827035,0.006562,1.046284437
