nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,mean-velocity-magnitude
1,-0.021212997,-0.021212997,0.006562001,0.592342258
2,-0.021189971,-0.021189971,0.006562001,1.120228529
3,-0.021162361,-0.021162363,0.006562001,2.241614342
4,-0.021129269,-0.021129267,0.006562,3.086389542
5,-0.02108961,-0.021089612,0.006562001,3.566339016
6,-0.021042114,-0.021042114,0.006562,3.792896509
7,-0.020985276,-0.020985276,0.006562001,3.892605543
8,-0.02090802,-0.02090802,0.006562,3.9526999
9,-0.020785252,-0.020785252,0.006562001,4.008550644
10,-0.020633833,-0.020633835,0.006562001,4.065156937
11,-0.020572862,-0.020572864,0.006562001,4.08474493
12,-0.020375982,-0.020375984,0.006562001,4.143649101
13,-0.020316862,-0.020316862,0.006562001,4.160540581
14,-0.020137088,-0.020137088,0.006562001,4.214132786
15,-0.019967264,-0.019967264,0.006562001,4.2665658
16,-0.019869238,-0.019869238,0.006562001,4.303502083
17,-0.019798733,-0.019798733,0.006562001,0.280502677
18,-0.019699417,-0.019699419,0.006562001,0.299304664
19,-0.019489368,-0.019489368,0.006562,0.38259542
20,-0.019200001,-0.019200001,0.006562,0.504759789
21,-0.01888,-0.01888,0.006562,0.621546269
22,-0.01856,-0.01856,0.006562,0.639738143
23,-0.018239999,-0.018239999,0.006562,0.534963906
24,-0.01792,-0.01792,0.006562,0.403317958
25,-0.0176,-0.0176,0.006562,0.297262967
26,-0.017279999,-0.017279999,0.006562,0.226662621
27,-0.016960001,-0.016960001,0.006562,0.198756278
28,-0.01664,-0.01664,0.006562,0.224640176
29,-0.016319999,-0.016319999,0.006562,0.289218485
30,-0.016000001,-0.016000001,0.006562,0.365840823
31,-0.01568,-0.01568,0.006562,0.437338829
32,-0.01536,-0.01536,0.006562,0.498101085
33,-0.01504,-0.01504,0.006562,0.54652971
34,-0.01472,-0.01472,0.006562,0.571724176
35,-0.0144,-0.0144,0.006562,0.569613755
36,-0.01408,-0.01408,0.006562,0.55063355
37,-0.01376,-0.01376,0.006562,0.525303841
38,-0.01344,-0.01344,0.006562,0.500952661
39,-0.01312,-0.01312,0.006562,0.480303377
40,-0.0128,-0.0128,0.006562,0.462106139
41,-0.01248,-0.01248,0.006562,0.44716841
42,-0.01216,-0.01216,0.006562,0.436880261
43,-0.01184,-0.01184,0.006562,0.4347817
44,-0.01152,-0.01152,0.006562,0.45016551
45,-0.0112,-0.0112,0.006562,0.486047536
46,-0.01088,-0.01088,0.006562,0.534757495
47,-0.01056,-0.01056,0.006562,0.583551407
48,-0.01024,-0.01024,0.006562,0.613735795
49,-0.00992,-0.00992,0.006562,0.624793291
50,-0.0096,-0.0096,0.006562,0.633935988
51,-0.00928,-0.00928,0.006562,0.664510906
52,-0.00896,-0.00896,0.006562,0.730808079
53,-0.00864,-0.00864,0.006562,0.790858626
54,-0.00832,-0.00832,0.006562,0.836821735
55,-0.008,-0.008,0.006562,0.888470292
56,-0.00768,-0.00768,0.006562,0.881422162
57,-0.00736,-0.00736,0.006562,0.805526853
58,-0.00704,-0.00704,0.006562,0.684324741
59,-0.00672,-0.00672,0.006562,0.54432255
60,-0.0064,-0.0064,0.006562,0.427145362
61,-0.00608,-0.00608,0.006562,0.386319697
62,-0.00576,-0.00576,0.006562,0.43212539
63,-0.00544,-0.00544,0.006562,0.493528605
64,-0.00512,-0.00512,0.006562,0.473041266
65,-0.0048,-0.0048,0.006562,0.396631748
66,-0.00448,-0.00448,0.006562,0.400048941
67,-0.00416,-0.00416,0.006562,0.503668129
68,-0.00384,-0.00384,0.006562,0.615296543
69,-0.00352,-0.00352,0.006562,0.668813944
70,-0.003261731,-0.003261731,0.006562,0.633213699
71,-0.003110328,-0.003110328,0.006562,0.546878576
72,-0.00304391,-0.00304391,0.006562001,0.491009504
73,-0.002989858,-0.002989858,0.006562001,0.42763865
74,-0.002944678,-0.002944678,0.006562001,0.36459887
75,-0.002906908,-0.002906908,0.006562,0.300484389
76,-0.002875368,-0.002875368,0.006562,0.225740597
77,-0.002849019,-0.002849019,0.006562,0.131060213
78,-0.002827035,-0.002827035,0.006562,0.069989599
