nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,rmse-velocity-magnitude
1,-0.021212997,-0.021212997,0.006562001,0.098158874
2,-0.021189971,-0.021189971,0.006562001,0.165272847
3,-0.021162361,-0.021162363,0.006562001,0.274090171
4,-0.021129269,-0.021129267,0.006562,0.298748136
5,-0.02108961,-0.021089612,0.006562001,0.289164662
6,-0.021042114,-0.021042114,0.006562,0.286284059
7,-0.020985276,-0.020985276,0.006562001,0.289575815
8,-0.02090802,-0.02090802,0.006562,0.295188785
9,-0.020785252,-0.020785252,0.006562001,0.307243943
10,-0.020633833,-0.020633835,0.006562001,0.330127329
11,-0.020572862,-0.020572864,0.006562001,0.340987057
12,-0.020375982,-0.020375984,0.006562001,0.37217918
13,-0.020316862,-0.020316862,0.006562001,0.380071044
14,-0.020137088,-0.020137088,0.006562001,0.403223574
15,-0.019967264,-0.019967264,0.006562001,0.431308329
16,-0.019869238,-0.019869238,0.006562001,0.450749397
17,-0.019798733,-0.019798733,0.006562001,4.636167526
18,-0.019699417,-0.019699419,0.006562001,4.639814377
19,-0.019489368,-0.019489368,0.006562,4.689033508
20,-0.019200001,-0.019200001,0.006562,4.799007893
21,-0.01888,-0.01888,0.006562,4.97543478
22,-0.01856,-0.01856,0.006562,5.14203167
23,-0.018239999,-0.018239999,0.006562,5.284888744
24,-0.01792,-0.01792,0.006562,5.360165596
25,-0.0176,-0.0176,0.006562,5.390854359
26,-0.017279999,-0.017279999,0.006562,5.396893501
27,-0.016960001,-0.016960001,0.006562,5.382027626
28,-0.01664,-0.01664,0.006562,5.356942177
29,-0.016319999,-0.016319999,0.006562,5.330787659
30,-0.016000001,-0.016000001,0.006562,5.309808731
31,-0.01568,-0.01568,0.006562,5.294115543
32,-0.01536,-0.01536,0.006562,5.275374413
33,-0.01504,-0.01504,0.006562,5.243375778
34,-0.01472,-0.01472,0.006562,5.182501793
35,-0.0144,-0.0144,0.006562,5.086517334
36,-0.01408,-0.01408,0.006562,4.965741634
37,-0.01376,-0.01376,0.006562,4.831266403
38,-0.01344,-0.01344,0.006562,4.690853596
39,-0.01312,-0.01312,0.006562,4.54776001
40,-0.0128,-0.0128,0.006562,4.400230885
41,-0.01248,-0.01248,0.006562,4.251600266
42,-0.01216,-0.01216,0.006562,4.10664463
43,-0.01184,-0.01184,0.006562,3.960018635
44,-0.01152,-0.01152,0.006562,3.79998827
45,-0.0112,-0.0112,0.006562,3.622062683
46,-0.01088,-0.01088,0.006562,3.435453892
47,-0.01056,-0.01056,0.006562,3.257809162
48,-0.01024,-0.01024,0.006562,3.103353739
49,-0.00992,-0.00992,0.006562,2.968809605
50,-0.0096,-0.0096,0.006562,2.837219238
51,-0.00928,-0.00928,0.006562,2.687721252
52,-0.00896,-0.00896,0.006562,2.500718117
53,-0.00864,-0.00864,0.006562,2.300106287
54,-0.00832,-0.00832,0.006562,2.130993366
55,-0.008,-0.008,0.006562,1.964422226
56,-0.00768,-0.00768,0.006562,1.791773558
57,-0.00736,-0.00736,0.006562,1.616039515
58,-0.00704,-0.00704,0.006562,1.440392494
59,-0.00672,-0.00672,0.006562,1.276630521
60,-0.0064,-0.0064,0.006562,1.140413404
61,-0.00608,-0.00608,0.006562,1.038632035
62,-0.00576,-0.00576,0.006562,0.962581873
63,-0.00544,-0.00544,0.006562,0.939980447
64,-0.00512,-0.00512,0.006562,0.962723613
65,-0.0048,-0.0048,0.006562,0.95460546
66,-0.00448,-0.00448,0.006562,0.922434092
67,-0.00416,-0.00416,0.006562,0.920429647
68,-0.00384,-0.00384,0.006562,0.957619846
69,-0.00352,-0.00352,0.006562,1.002350569
70,-0.003261731,-0.003261731,0.006562,1.019104481
71,-0.003110328,-0.003110328,0.006562,1.007654309
72,-0.00304391,-0.00304391,0.006562001,1.004469633
73,-0.002989858,-0.002989858,0.006562001,1.007582903
74,-0.002944678,-0.002944678,0.006562001,1.01562202
75,-0.002906908,-0.002906908,0.006562,1.024573088
76,-0.002875368,-0.002875368,0.006562,1.029800534
77,-0.002849019,-0.002849019,0.006562,1.031722665
78,-0.002827035,-0.002827035,0.006562,1.033110619
