nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
1,0.029999997,-0.029999999,0.006562,4.151998043
2,0.029800016,-0.029800016,0.006562,3.607133865
3,0.029788859,-0.029788861,0.006562,3.576014519
4,0.029544016,-0.029544016,0.006562,2.951488972
5,0.029532859,-0.029532859,0.006562,2.922307491
6,0.029288016,-0.029288016,0.006562,2.352824688
7,0.029276861,-0.029276859,0.006562,2.326294422
8,0.029032016,-0.029032018,0.006562,1.818465471
9,0.029020859,-0.029020859,0.006562,1.794922829
10,0.028776016,-0.028776016,0.006562,1.368302107
11,0.028764859,-0.028764859,0.006562,1.348525763
12,0.028520018,-0.028520016,0.006562,1.076853514
13,0.028508861,-0.028508859,0.006562,1.063103557
14,0.028264016,-0.028264018,0.006562,0.91074729
15,0.028252861,-0.028252861,0.006562001,0.904298961
16,0.028008016,-0.028008016,0.006562,1.026919365
17,0.027996859,-0.027996859,0.006562,1.030560493
18,0.027752018,-0.027752016,0.006562,1.213966727
19,0.02774086,-0.02774086,0.006562001,1.221897244
20,0.027496016,-0.027496018,0.006562,1.417973876
21,0.027484858,-0.02748486,0.006562,1.426745653
22,0.027240016,-0.027240016,0.006562,1.565761209
23,0.02722886,-0.02722886,0.006562001,1.572362423
24,0.026984019,-0.026984019,0.006562001,1.648908019
25,0.02697286,-0.026972862,0.006562001,1.652451277
26,0.026728019,-0.026728019,0.006562,1.662699699
27,0.026716862,-0.02671686,0.006562001,1.662991643
28,0.026472017,-0.026472019,0.006562,1.610242724
29,0.026460862,-0.026460862,0.006562001,1.607362866
30,0.026216019,-0.026216017,0.006562,1.484563351
31,0.02620486,-0.02620486,0.006562001,1.477984309
32,0.025960019,-0.025960019,0.006562,1.264306545
33,0.025948862,-0.02594886,0.006562,1.253260612
34,0.025704017,-0.025704019,0.006562,0.958745003
35,0.02569286,-0.025692862,0.006562,0.944549203
36,0.025441356,-0.025441356,0.006562,0.649006486
37,0.025413886,-0.025413886,0.006562001,0.619311035
38,0.025155734,-0.025155734,0.006562001,0.432311356
39,0.025082938,-0.025082937,0.006562001,0.40107882
40,0.025037816,-0.025037818,0.006562,0.398514718
41,0.024970962,-0.02497096,0.006562,0.377791584
42,0.024914036,-0.024914037,0.006562001,0.333653033
43,0.024866499,-0.024866499,0.006562,0.278330445
44,0.024826825,-0.024826825,0.006562,0.204218775
45,0.024793522,-0.024793524,0.006562001,0.105830535
46,0.024765464,-0.024765465,0.006562,0
47,0.021212967,-0.021212967,0.006562001,0
48,0.021189837,-0.021189837,0.006562,2.080180645
49,0.021162102,-0.021162102,0.006562001,3.735114098
50,0.021128856,-0.021128856,0.006562,4.553556442
51,0.021089017,-0.021089017,0.006562001,4.816621304
52,0.021041304,-0.021041304,0.006562001,4.886417389
53,0.020984208,-0.020984208,0.006562,4.915049553
54,0.020951478,-0.020951476,0.006562001,4.933765411
55,0.020768786,-0.020768782,0.006562,5.036293983
56,0.020585107,-0.020585107,0.006562,5.157247543
57,0.020572862,-0.020572862,0.006562001,5.164874554
58,0.020328019,-0.020328019,0.006562001,5.302741051
59,0.020316862,-0.020316862,0.006562,5.308042049
60,0.020104622,-0.020104622,0.006562,5.394078732
61,0.019903842,-0.019903842,0.006562,5.450464725
62,0.019867646,-0.019867644,0.006562001,5.459841728
63,0.019819843,-0.019819843,0.006562,5.476527214
64,0.019798797,-0.019798795,0.006562001,5.484765053
65,0.019715512,-0.01971551,0.006562001,5.490796089
66,0.019519543,-0.019519543,0.006562,5.519337654
67,0.019200001,-0.019200001,0.006562,5.521207809
68,0.01888,-0.01888,0.006562,5.44747448
69,0.01856,-0.01856,0.006562,5.343621254
70,0.018239999,-0.018239999,0.006562,5.245340824
71,0.01792,-0.01792,0.006562,5.156061172
72,0.0176,-0.0176,0.006562,5.063149452
73,0.017279999,-0.017279999,0.006562,4.956604958
74,0.016960001,-0.016960001,0.006562,4.836755753
75,0.01664,-0.01664,0.006562,4.711478233
76,0.016319999,-0.016319999,0.006562,4.591864586
77,0.016000001,-0.016000001,0.006562,4.488554001
78,0.01568,-0.01568,0.006562,4.407241344
79,0.01536,-0.01536,0.006562,4.345901489
80,0.01504,-0.01504,0.006562,4.294920444
81,0.01472,-0.01472,0.006562,4.240102768
82,0.0144,-0.0144,0.006562,4.166902542
83,0.01408,-0.01408,0.006562,4.068293571
84,0.01376,-0.01376,0.006562,3.945905209
85,0.01344,-0.01344,0.006562,3.809765816
86,0.01312,-0.01312,0.006562,3.672767639
87,0.0128,-0.0128,0.006562,3.553260088
88,0.01248,-0.01248,0.006562,3.455598831
89,0.01216,-0.01216,0.006562,3.369494915
90,0.01184,-0.01184,0.006562,3.266646624
91,0.01152,-0.01152,0.006562,3.104272366
92,0.0112,-0.0112,0.006562,2.839645147
93,0.01088,-0.01088,0.006562,2.472182751
94,0.01056,-0.01056,0.006562,2.068129063
95,0.01024,-0.01024,0.006562,1.72774899
96,0.00992,-0.00992,0.006562,1.516684651
97,0.0096,-0.0096,0.006562,1.448352575
98,0.00928,-0.00928,0.006562,1.420683146
99,0.00896,-0.00896,0.006562,1.157737732
100,0.00864,-0.00864,0.006562,0.9814381
101,0.00832,-0.00832,0.006562,1.100061893
102,0.008,-0.008,0.006562,1.201379538
103,0.00768,-0.00768,0.006562,1.248203874
104,0.00736,-0.00736,0.006562,1.271330833
105,0.00704,-0.00704,0.006562,1.306425333
106,0.00672,-0.00672,0.006562,1.366635561
