x-coord,y-coord,radius,Velocity_Magnitude
0.006,-0.006,0.008485281,0.979814302
0.0063,-0.0063,0.008909545,1.163734957
0.0066,-0.0066,0.00933381,1.237311229
0.0069,-0.0069,0.009758074,1.256766139
0.0072,-0.0072,0.010182338,1.248267785
0.0075,-0.0075,0.010606602,1.215204964
0.0078,-0.0078,0.011030866,1.254418379
0.0081,-0.0081,0.01145513,1.370024118
0.0084,-0.0084,0.011879394,1.573746098
0.0087,-0.0087,0.012303658,1.873378673
0.009,-0.009,0.012727922,2.200184575
0.0093,-0.0093,0.013152186,2.543058189
0.0096,-0.0096,0.01357645,2.87421667
0.0099,-0.0099,0.014000714,3.166008914
0.0102,-0.0102,0.014424978,3.387888478
0.0105,-0.0105,0.014849242,3.607728363
0.0108,-0.0108,0.015273506,3.72197642
0.0111,-0.0111,0.015697771,3.85390546
0.0114,-0.0114,0.016122035,3.999697269
0.0117,-0.0117,0.016546299,4.125596534
0.012,-0.012,0.016970563,4.296168996
0.0123,-0.0123,0.017394827,4.433753707
0.0126,-0.0126,0.017819091,4.640638214
0.0129,-0.0129,0.018243355,4.805661486
0.0132,-0.0132,0.018667619,4.994373372
0.0135,-0.0135,0.019091883,5.182399649
0.0138,-0.0138,0.019516147,5.335008639
0.0141,-0.0141,0.019940411,5.466549831
0.0144,-0.0144,0.020364675,5.51009093
0.0147,-0.0147,0.020788939,5.625236749
0.015,-0.015,0.021213203,5.800038827
0.0153,-0.0153,0.021637468,5.87341962
0.0156,-0.0156,0.022061732,5.948001533
0.0159,-0.0159,0.022485996,6.068976434
0.0162,-0.0162,0.02291026,6.304634049
0.0165,-0.0165,0.023334524,6.554388194
0.0168,-0.0168,0.023758788,6.735272452
0.0171,-0.0171,0.024183052,6.914943332
0.0174,-0.0174,0.024607316,7.087179044
0.0177,-0.0177,0.02503158,7.241290907
0.018,-0.018,0.025455844,7.344610137
0.0183,-0.0183,0.025880108,7.350557107
0.0186,-0.0186,0.026304372,7.167109752
0.0189,-0.0189,0.026728636,6.83780227
0.0192,-0.0192,0.0271529,6.475777068
0.0195,-0.0195,0.027577164,6.21940291
0.0198,-0.0198,0.028001429,6.109365111
0.0201,-0.0201,0.028425693,6.141442852
0.0204,-0.0204,0.028849957,6.27195387
0.0207,-0.0207,0.029274221,5.806815232
0.021,-0.021,0.029698485,2.366325759
